Query_name,Agricultural land,Grasslands,Other,Peat,Rhizosphere,Temperate forest,Tropical forest
K00023,-0.00872900017453677,0.05655801118774241,0.032728334171826974,-0.034645586167542076,0.06098450006135968,-0.021380179943476713,-0.03677681411598633
K00034,-0.008373782673587758,0.059632750211659105,0.031075804940382264,-0.0331466282472981,0.05479157039461763,-0.019382392652797245,-0.0352527662757154
K00038,-0.005129100345444067,0.0649922042384599,0.007374846667477891,-0.026549866434937924,0.041049144454451625,-0.01729744479381947,-0.02854558626943952
K00039,-0.009517078346041137,0.05737274028850569,0.03396530376105174,-0.03424839973027277,0.05967663097670414,-0.02085081617302629,-0.03637297947611421
K00046,-0.009396731433151307,0.05761063606989026,0.03432649111363542,-0.03413242378469649,0.0589345964579062,-0.020696245276160073,-0.03625506229712486
K00065,-0.005800198282866791,0.07421033467598025,0.0089628994713693,-0.027565731284136447,0.03639866032606198,-0.016617834213846213,-0.028027133158106912
K00068,-0.008006918697197794,0.05798538587604982,0.034895458287329074,-0.033949730494084396,0.05653229294857196,-0.02045275456227942,-0.03606931104205024
K00076,-0.009757772171820797,0.05689694872573655,0.033242929055884364,-0.034480351621425334,0.06116070001430005,-0.021159957966758722,-0.0366088138340929
K00081,-0.005845358585062575,0.06120377787038948,0.03322692852202942,-0.02839675219191075,0.040811108291611414,-0.019758944775097594,-0.030423385646678503
K00208,-0.0017247075534738924,0.0659222404210178,-0.010409556681340401,-0.02363826127531785,0.03192969837277509,-0.01306014246969839,-0.024033924206854577
K00216,-0.00848830634875711,0.05703380275051155,0.03345070887699435,-0.034413634276389514,0.059500431023763775,-0.02107103814974428,-0.03654097975800763
K00666,0.04789302755115185,-0.04425418015112966,0.00889415054875905,-0.02555822726561896,-0.01859727026197888,0.05480562740397286,-0.0259860270520337
K01467,0.050401738144859834,-0.03349548816804361,-0.07566972697800042,-0.02429727418470263,-0.02331258552914513,0.08331465135288516,-0.024703967833626342
K01710,0.030687577382340823,-0.036613399374886536,-0.017663942086697984,-0.01784930186046545,0.010400206596683746,0.02651406992343036,-0.018148067789894022
K01784,0.03193064377098231,-0.02730209745805499,-0.022021106625238953,-0.021277950597988225,0.015401092936205719,0.0236211992410727,-0.021634106078826588
K01861,-0.007645083364687303,0.07056345776351465,0.028709111355776654,-0.027817827808861793,0.03883133083074383,-0.020664141416992046,-0.02983477108735696
K01895,0.04869322895440177,-0.04267238188543226,0.011295729612429507,-0.024787088960822285,-0.019506371032085145,0.05080305470617402,-0.025201981247876454
K01896,0.04730971621247334,-0.038289552645368145,-0.0010123375379936142,-0.022650427425853263,-0.018959328794872846,0.048620429665025784,-0.023029555755618818
K01897,0.0491395447473314,-0.04996228770095944,-6.336620220766106e-06,-0.02435698323673091,-0.019047722340722866,0.058083404210130994,-0.024764676310201534
K01909,0.04107222645244256,-0.03743860737867817,-0.012596042691961493,-0.01825159684014035,-0.017731407789935,0.0477760097204906,-0.018557096480189463
K01911,0.05119594982406069,-0.04721537902660212,0.004398284434274639,-0.02700183352724985,-0.0210023850383544,0.06126550121318588,-0.02745379674424897
K01913,0.045307343516932094,-0.04330221556659464,0.003784597528628701,-0.021110149018428555,-0.018182540327506408,0.04731973252860934,-0.021463495795863916
K02025,0.008229627330143895,-0.007984946546369196,0.007775532672689879,-0.019828674255386102,0.0524405316192093,-0.021397008304153326,-0.0201605713984541
K02028,0.0006657939631545695,0.031895806207028,-0.005885788997174234,-0.028274433063871736,0.056419893725326666,-0.014208824965670408,-0.028747697359552894
K02036,0.07141057895609805,0.0473128363099356,-0.07963145727588053,-0.08696053902286333,0.07791716972632375,0.048067844618042824,-0.08996742729881041
K02041,0.06765023171160635,0.04462469475984219,-0.06475041570517044,-0.08827102782724863,0.07825112725381331,0.05135157954278101,-0.09129985138160092
K02054,-0.0051164578502461925,0.008075688910066537,0.013665602863095712,-0.01996697318212373,0.05489017562125123,-0.01990455305767755,-0.020301185206059832
K02062,0.003769836965221358,0.004288608867867002,0.0015950567673993761,-0.021813202595318534,0.04166723527995507,-0.002243843980588084,-0.022178317253479966
K02068,0.07572248228473863,0.02973820155349381,-0.08103118565915832,-0.09247673724722563,0.08176643017290218,0.06850764439290316,-0.0986786004864413
K02182,0.048614950109722624,-0.045199682371484466,0.007458633525950266,-0.026019166561860024,-0.018223091785284518,0.055868072694232405,-0.026454681661642655
K02193,0.07915009323755239,0.011997250197048746,-0.07074417707700247,-0.09222518185699811,0.07663168579292226,0.07290999162693561,-0.09532019099737707
K02346,0.0033209930655357413,-0.03403241147551824,-0.02591868612798736,-0.023033245421547676,0.012767981124395552,0.024278564669332706,0.014800145346624202
K02363,0.05126308543606485,-0.05288226656601843,0.008201937247366507,-0.025780494439691392,-0.017968580742148424,0.05618617110504729,-0.026212014587796595
K02364,0.04928477379878514,-0.03543982955200459,-0.053806831451176734,-0.017277177928227656,-0.017558030769044386,0.050751477616051366,-0.017566367508973262
K02473,0.030802101057510172,-0.034014451913738974,-0.020038846023310058,-0.016582295831374036,0.005691345967537604,0.0282027154203774,-0.01685985430760179
K02479,0.044693393534092636,-0.014726997686944512,-0.10265669255876748,-0.03905142784626768,-0.022597432492138792,0.05023632700241836,0.019950292739219683
K02483,0.06666639500235542,-0.042995982289170356,-0.03929360306757762,-0.029861257882459146,-0.015185747034912038,0.061771316962896464,-0.03346372633945679
K02490,0.04788577089746635,-0.03688721835960499,-0.06677307620923115,-0.04680313297856892,-0.01680349848351534,0.06266634512953961,0.00896619418861359
K02521,-0.007289940653776621,0.01537845213766061,-0.006382600463192701,-0.024374799323949856,0.03806993719625785,0.019493768482458703,-0.024782790607395206
K02658,0.06424116314802385,-0.07230654170196443,-0.03814454830160672,-0.06500273681917837,-0.01003091657080198,0.0444037913458148,0.027129566025489646
K03205,-0.002744217186182536,-0.025459606277254094,-0.030460668119313136,0.006067179811366184,0.011645636440891971,-0.008717213885963594,0.014630488744375766
K03331,-0.007416353851884998,0.07101559886848532,0.016754021205930735,-0.027597405690076467,0.03906638075141569,-0.017016810604973457,-0.02961065948986259
K03366,-0.011694969253499018,0.05781271958310941,0.03463330617658285,-0.03403390658361557,0.060771065401382836,-0.020564943116456513,-0.0361548960913167
K03367,0.051984027995565056,-0.048030108127365405,0.003161314845049875,-0.027399019964519156,-0.01969451595369887,0.060736137442735455,-0.027857631384121093
K03502,0.00408889700660466,-0.03014189445795233,-0.026332653279401423,-0.022662372551126492,0.0069991415272912545,0.02512961938247726,0.01672854772875732
K03535,0.020630925298463526,-0.01536846688745159,-0.01631022197329814,-0.01944420630199311,0.027745012675903763,0.00762062805604386,-0.01976966812751598
K03566,-0.01742173861233139,0.06336388468487729,-0.03325613868376165,-0.02488547853950193,0.06522798997596474,-0.01975274738876571,-0.025302017695108724
K03576,-0.009496066129051387,0.04370613576662327,-0.025645221865409098,-0.026500798918880356,0.04705704077854142,0.006599602867462954,-0.026944375697484542
K03581,-0.009822844189148684,0.012744097391155541,-0.01670301128795256,0.033846463708437795,-0.0013906628623679342,-0.010723106200185224,-0.016145992188589798
K03717,-0.002997215535814545,-0.0006523846394996207,0.0065008045489955,-0.02023798482077718,0.03642133321419164,0.009916248378681016,-0.020576733103035382
K03733,0.03833998855334622,0.01067491214666808,-0.002989160111429716,-0.028193592542196336,-0.035651781444317104,0.08015523928082251,-0.04037093147441253
K03793,-0.009637425258930967,0.05713484450712112,0.03360411640846805,-0.03436437567584905,0.060418665495502094,-0.021005387069892505,-0.03649089665510356
K04105,0.05210437490845489,-0.04779221234598083,0.0035225021976335617,-0.027283044018942874,-0.02043655047249682,0.06089070833960167,-0.027739714205131744
K04110,0.051984027995565056,-0.048030108127365405,0.003161314845049875,-0.027399019964519156,-0.01969451595369887,0.060736137442735455,-0.027857631384121093
K04116,0.04988441593278632,-0.045062828346709466,0.007666413347060239,-0.025952449216824203,-0.019883360775820792,0.05595699251124684,-0.026386847585557385
K04479,0.003321151984303939,-0.031659534566856024,-0.022316044989676483,-0.02187645045184893,0.007941595534913476,0.024143544760270447,0.015976303030169246
K04761,-0.007408327568525313,0.0035452350382603813,0.0004664229432393273,-0.022175602812352736,0.04301219909154542,0.012364155490735254,-0.022546783412953474
K04787,0.05114289744194322,-0.050747285438740776,-0.001198166307335233,-0.024739675415568926,-0.01772439711984449,0.055896580299118814,-0.025153774083240897
K04792,0.049471276324608564,-0.035071160651028506,-0.05324709666500904,-0.017097449123679623,-0.017366374679881176,0.049314239452207614,-0.017383630360247083
K05296,-0.00860865326164694,0.05679590696912698,0.03308952152441066,-0.034529610221965795,0.060242465542561734,-0.021225609046610496,-0.036658896936996976
K05354,-0.006496441210818043,0.06334378528091843,0.03038933774979926,-0.031337471318498504,0.04806371843446368,-0.020324732769657055,-0.03341332724089618
K05711,-0.008728841255768572,0.05893088809640463,0.03633097531013785,-0.03348879119784333,0.0561581144718776,-0.02151519985253897,-0.035600656432441286
K05779,0.08067908854420766,0.04401768130219128,-0.09048692805436936,-0.09653492836026198,0.07896158848301894,0.06716602998932711,-0.09970207507945016
K05780,0.029846616213262185,0.0874700570809181,-0.025217286895228848,-0.06339960963001363,0.07014480180107065,-0.0010158603553041313,-0.06601212937416694
K05783,-0.0069891310138205575,0.05182513722124939,0.03795006126819517,-0.032968908583981674,0.055846790949156115,-0.02082230856813988,-0.035072071897712456
K05815,0.01166549650399271,-0.0011930915480097139,0.005445768638188102,-0.01651759492027847,0.03692579039381587,-0.01866083225260927,-0.016794070417015517
K05817,-0.007148439511380775,0.005113441141708147,-0.0032393101689118763,-0.023869296457477367,0.04650472504746453,0.014780399848301316,-0.025820148263695563
K05819,0.010509180990261985,-0.026940848019199312,-0.027793415172598666,-0.019576056005770448,0.03463444459546813,0.013795251051481884,-0.011512484377949588
K05833,0.07880297503887024,0.031082440619274367,-0.08531106160052626,-0.09182141080206073,0.07727100420373287,0.06938105306283,-0.09801230502881869
K05847,-0.009852517142344051,0.024548255205462628,0.013860311985506555,-0.019904452790912932,0.028119929936467898,0.008683996708889224,-0.020237618333427274
K05886,-0.009625460945953611,0.05715849496491959,0.0336400239230524,-0.03435284590348182,0.06302808123022238,-0.02434357608817866,-0.03647917389461923
K06074,0.07874280158242532,0.030963492728582075,-0.07917087660660364,-0.09187939877484887,0.07547775411663782,0.0693037676143969,-0.09807126361831336
K06857,0.08064261491577457,0.0334008586464595,-0.08155700022202957,-0.09467515343899777,0.0820192420131378,0.06557763023558014,-0.10091381429987618
K07357,0.025930308479954093,0.027795732309005464,0.0038082360482411407,-0.01586307811388422,-0.05107131004269699,0.08149815220122245,-0.037776588052333186
K07358,0.03920092817699916,0.01606742789180386,-0.04560225815169914,-0.018529147238442907,-0.04677989911506908,0.09902944730720628,-0.04358992599029809
K07547,-0.0038088099012323325,0.07340168648040045,-0.004906395070758451,-0.02795995323534169,0.03944110450520812,-0.015466469106572229,-0.0284279536916306
K07548,-0.00872900017453677,0.05655801118774241,0.032728334171826974,-0.034645586167542076,0.06098450006135968,-0.021380179943476713,-0.03677681411598633
K07636,0.031516952170019465,-0.02706539006315239,-0.027748399307337263,-0.02056919401009155,-0.003441247037463237,0.015111645727857495,0.004260235004849691
K07639,0.048694333818218784,-0.04135210742015337,-0.005896191047572468,-0.020159456934091307,-0.007645981446816037,0.030142243391694735,-0.02049689079759884
K07640,0.04556481084031725,-0.03462110635115769,-0.008084244179323456,-0.020862032838565067,-0.004932354414760328,0.029205861393414988,-0.021211226587402297
K07643,0.046726157208182045,-0.05130591684032273,-0.01445376774966238,-0.028996000839090007,-0.007546165736763194,0.04016315028057547,-0.009596218635602574
K07655,0.046012340341123975,-0.03610901509707945,-0.004022495987488219,-0.020061616480856213,-0.003974444270915271,0.026562326630646418,-0.02194873441915762
K07656,0.040671311352510044,-0.03585855360756665,-0.0038763335522525705,-0.015955526159203554,-0.009118639127828178,0.02868130283081319,-0.017773915365095354
K07657,0.055931926165743204,-0.03363564759209888,-0.04989710182850972,-0.03326600277847846,-0.015353612162557996,0.05723352708273355,-0.017040336403586393
K07658,0.06432565604295468,-0.04182344056968073,-0.04992083576446205,-0.033273623659012146,-0.019690273478113533,0.05722337009428953,-0.017048084844260722
K07659,0.06175721263120453,-0.03609227004970524,-0.028811981526163804,-0.026495647318460956,-0.01332819942112998,0.04781239279137353,-0.030041781372236103
K07660,0.0642953823615926,-0.05743675109596569,-0.07971255690358804,-0.044869216036630535,-0.023398311022068158,0.06356706103299131,0.010932481499830992
K07661,0.0677892733968753,-0.03154969924506115,-0.04040931382039138,-0.03224908759585945,-0.014269211766074184,0.05858885547461034,-0.03589152412383365
K07663,0.0622842638277256,-0.03505042150357068,-0.03355096452105612,-0.02751352130889108,-0.012786584391156297,0.048489325619847916,-0.02952537103162672
K07664,0.07109919187936511,-0.04504179176626671,-0.04848634697132742,-0.03484259357116555,-0.017034829740880993,0.07693038408524006,-0.03852844082910826
K07665,0.06531664527508914,-0.04487324604644626,-0.0793661384804404,-0.04272840329300892,-0.02111542821368881,0.07145063580365951,-0.0067759965903467344
K07666,0.06664781148189652,-0.05753171194739179,-0.07985673204753581,-0.04491551015110694,-0.02691050509230393,0.06518213883086393,0.010885412503275346
K07668,0.06739170266828087,-0.046834591934134,-0.08843064480019161,-0.04766856235978694,-0.02551772252265862,0.06654324817940839,0.008086279041203952
K07669,0.06407944718555045,-0.04573716907857644,-0.04345543390644582,-0.031197606631698464,-0.017476486403238543,0.0750812533110745,-0.03482244321710966
K07670,0.06198339654550102,-0.03564516095703211,-0.028133154232300846,-0.02780346117283178,-0.013095765440655441,0.048102898377682377,-0.02982016397910009
K07671,0.0616368657183147,-0.03633016583108981,-0.02917316887874749,-0.02661162326403724,-0.012586164902332029,0.04765782189450731,-0.03015969855122545
K07672,0.07159765985870577,-0.04669262595082503,-0.08212842794678545,-0.043615364396500336,-0.025524078184849284,0.07362206385850391,-0.0076778038632022635
K07685,0.0402259875979516,-0.0211853803970298,-0.0871790739630085,-0.04067415415465043,-0.02162635043282039,0.03262582120457994,0.03663420736867941
K07688,0.05736015719554461,-0.04662947675720089,-0.08788512397356017,-0.05307833853123077,-0.027062347244037572,0.04124538929499298,0.04390752303043971
K07690,0.054334332497673846,-0.04074796243520173,-0.09791779937911779,-0.0502110569806949,-0.030064733784097502,0.04171330085545556,0.04682279783270475
K07691,0.041486696575328975,-0.009203022638722153,-0.08794909041571286,-0.036358449325048205,-0.019725740706977503,0.03370415167771771,0.02268834698592764
K07692,0.05476629228456271,-0.032776397552034015,-0.08581490121361396,-0.046324860387937594,-0.0215921040888629,0.06198376262488084,0.011003793973436525
K07694,0.0660246796404433,-0.04373725707435102,-0.08349398612210637,-0.05014257730395002,-0.019498850335634612,0.0632459203854463,0.0055708534368373915
K07696,0.050416810463672024,-0.0271388599166029,-0.09621799635928123,-0.04357651926904206,-0.021258496511627437,0.060616374410752794,0.013798137490363783
K07705,0.04370793034094332,-0.041718730313783266,-0.038056712816248776,-0.02033818829498881,-0.015627936346676342,0.034934366648217335,-0.0007934895321996422
K07709,0.02068528440943736,-0.02237870080307681,-0.0016704563011555999,-0.019810181307474774,-0.005333361049642143,0.013126451324367483,0.006583273997518573
K07753,-0.004773723925726863,0.07043982017103881,-0.0033165987660848917,-0.023894113544995203,0.034358363891215556,-0.015434677412202263,-0.025845380745623554
K07770,0.07198094337726298,-0.035390246783323774,-0.06473438892303593,-0.04208935980881379,-0.020433976093122693,0.07397912065983563,-0.02601138091685275
K07771,0.06660562955629998,-0.046806753586922024,-0.05116601570569329,-0.03570302545804142,-0.01795236219120048,0.06236939128013972,-0.01951815055788545
K07772,0.07272469628368018,-0.05000073628524508,-0.0499286321404652,-0.03327612704699781,-0.01796152912043244,0.07566459005456759,-0.036935754409581564
K07773,0.07035287995922139,-0.04862600866753533,-0.03543398547404364,-0.030147731537497436,-0.012998487046687393,0.05503915924393519,-0.03220367330783316
K07774,0.055361947148572614,-0.04293451435361396,-0.04528695459284278,-0.033815280311966275,-0.018536462039411568,0.04141045799631942,0.0022863163978098905
K07775,0.06387855961299031,-0.03901658532536182,-0.03957262746256989,-0.029447055383625617,-0.014848432963283125,0.05932656500044399,-0.03149126906711646
K07776,0.060980118773606956,-0.029456229832135656,-0.031144209801862544,-0.027244517337411116,-0.014126766459310037,0.048491088590966416,-0.030803186158595196
K08081,-0.005796672685290411,0.06841770602926997,0.012575644747597209,-0.02487990908239359,0.03417285526151607,-0.01674853003556509,-0.02684767676703301
K08151,0.03304216428929611,-0.045403491629683566,-0.036628046528497826,-0.03408650207795883,0.021653791278467553,0.05349994543499383,-0.024714488052295695
K08153,0.04012472366450645,-0.0764817336826855,-0.07117130223833824,-0.047711591146335414,0.04791710695225019,0.07187299491642173,-0.030176396769667286
K08154,0.02428597475584192,-0.03635048233118041,-0.06127611376135267,-0.02170511636603552,0.0028256821638745033,0.0599409923670623,-0.012125859713251511
K08161,0.033834817197431,-0.06967118719348528,-0.061299336240243495,-0.03642342257014656,0.028788938824781587,0.06511957442157047,-0.01869928409904966
K08162,0.0403202341926602,-0.038925108211481756,-0.059098386285425755,-0.018976276944516122,-0.004652868588489816,0.055194056885008703,-0.019293906455336355
K08164,0.010742175708909903,-0.01936258736994033,-0.04157076928399865,-0.017407380953909434,0.016931403127832288,0.02877983294132479,-0.007756187766863211
K08174,0.014108320279535439,-0.03511609772741745,-0.02147732650982358,-0.019577561950105574,0.01558728606348798,0.03559135610443881,-0.011514015529145041
K08177,0.006750096496415451,-0.02356327746928026,-0.022899492032255178,-0.013945476985369078,0.0328473214657007,0.014592485842480843,-0.01573022150228019
K08191,0.027362566432592224,-0.047140386635706404,-0.03926510257585614,-0.03493325118598351,0.03200503983460242,0.05237141168260501,-0.02557541025158352
K08194,0.02631568904707398,-0.04920980169307217,-0.04872778877220058,-0.03594210626811636,0.03525776912143848,0.05773393709581451,-0.026601151793961615
K08217,0.03676456503414978,-0.0530714661486308,-0.0552931033772983,-0.02587273062970872,0.0035757354922828556,0.04935612874578392,-0.006420670374437694
K08221,0.02246182203765118,-0.054455371221027025,-0.08197503530764103,-0.03697357721759227,0.04811353402987767,0.05600244776288555,-0.019258647367978637
K08223,0.021711659063603214,-0.02852197516184896,-0.03019397529782698,-0.020346867133138383,0.012169806913237689,0.04462670553124084,-0.02223875966581415
K08224,0.015731159870652996,-0.026108551405708728,-0.026529773553392852,-0.019170305276658244,0.02814146652040368,0.026073474178698063,-0.02104250423255832
K08225,0.040260254740945293,-0.04378879813520764,-0.05384116874755387,-0.021347361604407974,-0.008047011712553178,0.05371069079569947,-0.01176211676594025
K08261,-0.00848830634875711,0.05703380275051155,0.03345070887699435,-0.034413634276389514,0.059500431023763775,-0.02107103814974428,-0.03654097975800763
K08295,0.05079284101718052,-0.04563966166608819,0.006790631110419152,-0.02623365970851723,-0.01931752620996322,0.05558219963766264,-0.02667276504644016
K08479,0.05037567900181861,-0.05885433675389846,-0.03761936804653115,-0.044034516655583056,-0.015478187232897025,0.0542621067075407,0.010229830528946507
K08678,0.031530005772569626,-0.034948128905194546,-0.015135630618612197,-0.01703747024143148,0.005205964965098084,0.027596066201493866,-0.017322647536968584
K08679,0.029953849429560895,-0.03331867070366798,-0.025303248780591613,-0.016243097366892868,0.006918761488775075,0.028654793742394716,-0.016514978257224342
K08683,-0.0071090011704057834,0.05870587216585149,0.035755239990115206,-0.029614499620461702,0.04643820339249589,-0.021381939192192858,-0.031661516026066656
K08690,-0.008421991817055316,0.0595374527787653,0.03725189744888925,-0.033193086447719004,0.05560773604224287,-0.022797867119516504,-0.035300002104725746
K09013,0.06782040344210712,0.04865173494976165,-0.07783276560920023,-0.08232382757386975,0.0681445678036827,0.05089402422268887,-0.0852531054527055
K09460,0.05127438758750804,-0.042315201631887685,-0.0008035356813641645,-0.024612960956513354,-0.022783515181649047,0.05606546331606524,-0.02502493864693772
K09681,-0.011608596017416676,0.032412503637507396,-0.017508763026990504,-0.032006527761745146,0.06456002437261557,0.00596876640863403,-0.032542260760675436
K09695,0.06948424132358016,0.046931983159828064,-0.0736548093210247,-0.0911301962394173,0.07260509595584573,0.06598548176453815,-0.0942068772458275
K09697,0.08097463583147772,0.03405718105042121,-0.08056053298688731,-0.09740675709331569,0.08322614449288483,0.06600407051133161,-0.10058849669259351
K09810,0.07607761074609413,0.03861236244072255,-0.07996536763604432,-0.09518607261569703,0.0812656648443629,0.06561020777044871,-0.09833064186136047
K09812,0.06513678382509394,0.02383915109831618,-0.06610897345336245,-0.07450020244715276,0.057441836989000086,0.057967671722105506,-0.07729852659733531
K09814,0.0794188967664025,0.026500366130991958,-0.0798603818762935,-0.09312278302240211,0.07480881047264941,0.07171368306074764,-0.09623281642807359
K09820,0.036571813423343924,0.05357645462380892,-0.06450319401118318,-0.07348079628966919,0.08439572581216381,0.03620819128258475,-0.07471073562120459
K09841,-0.007218681606925229,0.05954353368394876,0.037261129836415184,-0.03319012196165495,0.05301377644374542,-0.021117138241792104,-0.03529698799837732
K09972,0.07961638360613271,0.03269034614877436,-0.08286984495504927,-0.09408911067407352,0.0755097686082881,0.07042577692604636,-0.0972153187055786
K10000,0.07261252145044653,0.04019852528482831,-0.07147048625649578,-0.0873772523857668,0.07335301948384886,0.058536378183516584,-0.09349375921462251
K10004,0.07107013912946049,0.0511213792691037,-0.07970167643161986,-0.09002025762099866,0.07919168673169111,0.05669060067347843,-0.09618100371040145
K10010,0.07829379552177688,0.020849286939886497,-0.08235350657020972,-0.08884217158841178,0.07525371207562555,0.06999818001716107,-0.09498319858901075
K10017,0.05236822748167845,0.050268049764328866,-0.05665054839612478,-0.07602609086636342,0.06977037356082612,0.04383978563938608,-0.08040127745772686
K10021,0.06159917459822434,0.037672010155534105,-0.056812259784982194,-0.08064097011797101,0.07014785621321758,0.05410016525659831,-0.08664472342580029
K10025,0.055243635565447806,0.04171663660778676,-0.05699224893813704,-0.08019496776309239,0.0739819082188594,0.051697795636834944,-0.0846399340237371
